position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCrVpMA8a0KP9io6ejOwhWbA	Just Ameerah	RnKKntjHALM	2019-07-17T23:54:54.000Z	2019-07-17 23:54:54	MAKE THIS SLIME PRETTY CHALLENGE! Slimeatory #588	GUYS OUR APP IS FINALLY OUT! IM SO EXCITED!!! download it here on the App Store: https://itunes.apple.com/us/app/slimeatory/id1446656651?mt=8 right now its only available for iOS but we are going to make it available for android soon. It's going to get many updates to fix some bugs, fix some things around and add awesome new features so make sure you leave us a comment of what you think! Get My Merch!: https://teespring.com/i-love-slime-2019?4c693cb8cd#pid=2&cid=6568&sid=front Get Paul's Merch!: https://teespring.com/stores/pauls-noodles Paul's channel: https://www.youtube.com/channel/UChQDE32pfTG58LTSDhWpGVA?disable_polymer=true Jeddah's channel: https://www.youtube.com/channel/UCgLD3LP7f3JmNAa4g-2GekQ Testing different glues: https://www.youtube.com/watch?v=WLAO_j98mFc&list=PLAjYx0wXahdaCIqoy86COQUja6- UgplOR&index=24&t=154s Testing different glues part 2: https://www.youtube.com/watch?v=r6aPElBa0zs&list=PLAjYx0wXahdaCIqoy86COQUja6-UgplOR&index=22 Testing different activators: https://www.youtube.com/watch?v=8Ev-hI3Wtx0&list=PLAjYx0wXahdaCIqoy86COQUja6-UgplOR&index=23 Testing different shaving creams: https://www.youtube.com/watch?v=edvuE-XjFUo&list=PLAjYx0wXahdaCIqoy86COQUja6-UgplOR&index=19 Testing different clays: https://www.youtube.com/watch?v=UHi0YfMVKms&index=18&list=PLAjYx0wXahdaCIqoy86COQUja6-UgplOR subscribe to be part of the family :D You can stalk me on my social media here: My Instagram: https://www.instagram.com/just_ameerah/ My Facebook: https://www.facebook.com/Just-Ameerah-528269317208265/ My Twitter: https://twitter.com/ame_anavalua ADDING RANDOM CAR PRODUCTS IN SLIME! Mail: Ameerah Navalua P.O. box 392 Scottsdale, AZ 85252	26	Howto & Style	PT18M34S	1114	2d	hd	false	https://i.ytimg.com/vi/RnKKntjHALM/maxresdefault.jpg	1	337863	16215	473	0	4967
2	UCpKFNzuudY39bVHDMZ-qWUg	itsKristiii	hHiNK-W488E	2019-07-17T21:55:06.000Z	2019-07-17 21:55:06	$1 ETSY SLIME VS $1 WISH SLIME! Which Is Worth It?!?	Download Amino and search my profile name, itskristiii, to check out my Stories: https://aminoapps.onelink.me/4eRt/itsKristiii Follow me to see more of my Stories and support me! ⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ ❀ Hi Krystals! ❀ Today I am bringing back an OG. We are reviewing $1 Wish vs $1 Etsy slimes! ❀ Links to all slimes will be down below! ❀ ENTER MY HUGE BACK TO SCHOOL GIVEAWAY!!➜ https://youtu.be/IPcbCOBsXVw ❀ Slime Instagram➜ https://instagram.com/sparkleandslimebyK ⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ ♡ For business inquiries➜ kristitu.mgmt@gmail.com ♡ S N A P C H A T➜ @asdfghjkristi ♡ T W I T T E R ➜ https://www.twitter.com/itsKristiiii ♡ I N S T A G R A M ➜ https://www.instagram.com/asdfghjkristi Want to send me mail?! PO Box 23823 Rochester, NY 14623 ♡ Always Thumbs Up, YAY! ➜ SUBSCRIBE FOR MORE VIDEOS!! ⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ SLIME SHOPS IN THIS VID! ❀ ChickysNickNacks➜ https://www.etsy.com/shop/ChickysNickNacks ❀ SamanthaslimeShop➜ https://www.etsy.com/shop/SamanthaslimeShop ❀ EmeraldCitySlimes➜ https://www.etsy.com/shop/EmeraldCitySlimes ❀ SlimesibsCo➜ https://www.etsy.com/shop/SlimesibsCo ⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ PREVIOUS VIDEOS! ❀ BACK TO SCHOOL SUPPLIES HAUL + GIVEAWAY 2019! (3 WINNERS)➜ https://youtu.be/IPcbCOBsXVw ❀ WALMART SLIME VS TARGET SLIME VS WISH SLIME! Which Is Worth It?!?➜ https://youtu.be/eQKbJnE6clA ❀ EXPENSIVE ETSY SLIME REVIEW! Is It Worth It?!?➜ https://youtu.be/vJHTcfaIRV0 ❀ SLIME SHOP RESTOCK! June 26th 2019! + SLIME GIVEAWAY!!➜ https://youtu.be/iMQeFG0H1gE ❀ I SECRET SHOPPED FAMOUS YOUTUBER SLIME SHOPS!! this is what i got...➜ https://youtu.be/hex86X36CGI ❀ 100% HONEST FAMOUS VS UNDERRATED SLIME SHOP REVIEW!➜ https://youtu.be/hGGWWh5iyJ8 ❀ MICHAELS SLIME VS FIVE BELOW SLIME VS WISH SLIME! Which Is Worth It?!? + IPHONE GIVEAWAY!➜ https://youtu.be/Hj7arFwY9TM ❀ MYSTERY WHEEL OF SLIME MAKEOVER CHALLENGE! *fixing Walmart, Wish & Famous Slime Shop Slimes!!*➜ https://youtu.be/nq8UlE_Yvp0 ❀ TARGET SLIME VS WALMART SLIME VS WISH SLIME! Which Is Worth It?!?➜ https://youtu.be/h_7IR9Lu7I4 ❀ SLIME SHOP RESTOCK May 27th, 2019 + GIVEAWAY WINNER!➜ https://youtu.be/JSnNqEt0KgM ❀ WISH SLIME PALETTES VS ETSY SLIME PALETTES! Which Is Worth It?!?➜ https://youtu.be/qElWTe_hZFE ❀ 100% HONEST FAMOUS VS UNDERRATED SLIME SHOP REVIEW!➜ https://youtu.be/HDnOxmWCTPs ❀ TESTING WEIRD STRESS RELIEVERS FROM WISH + AMAZON !➜ https://youtu.be/W7rZPA0diJg ❀ WALMART SLIME VS WISH SLIME VS FLEA MARKET SLIME! Which Is Worth It?!?➜ https://youtu.be/u8riu2S29BM ⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯ #EtsySlime #WishSlime #SlimeReview	22	People & Blogs	PT12M40S	760	2d	hd	false	https://i.ytimg.com/vi/hHiNK-W488E/maxresdefault.jpg	1	23412	1670	30	0	805
3	UCfUvCUBDg8OFeYR0p_zPz3g	Videos de Slime	2KI00DfCbZM	2019-07-17T13:00:10.000Z	2019-07-17 13:00:10	Vídeos de Slime: Satisfatório & Relaxante #241	Vídeos de Slime: Satisfatório & Relaxante Most Oddly Satisfying Slime videos. New Relaxante Slime Videos Compilation Satisfying & Relaxing Slime Videos En Rahatlatıcı Slime Videos	24	Entertainment	PT10M12S	612	2d	hd	false	https://i.ytimg.com/vi/2KI00DfCbZM/maxresdefault.jpg	1	609243	7322	907	0	358
4	UCWeBlAcKVQri_t6IQ0zH58w	Play TOP	HRzfj_TeI68	2019-07-17T13:00:04.000Z	2019-07-17 13:00:04	Os Slimes Mais Satisfatórios do Mundo! #6 - Vídeo Satisfatório ASMR! - 2019	Os Slimes Mais Satisfatórios do Mundo! #6 - Vídeo Satisfatório ASMR! - 2019 *** Todos os Créditos no Vídeo *** Instagram : mintyslimey aeslimeic asmr_soap_granny asmr_soap_princess asmr_vid___ helen.asm is laurensoaps paragon.slimes qweenysli to sicksliems slimeaxis the slimebyi slimedivine to the slimeyglut soap.asmr.ns soap.asmr.u to sprousesslimes Kwai: cmt290010 daya0525 dx686886 ws000000 Yanxizaoan666 Clique aqui para se Inscrever https://www.youtube.com/channel/UCWeBlAcKVQri_t6IQ0zH58w?sub_confirmation=1 Musica: Song: Fredji - Happy Life (Vlog No Copyright Music) Music provided by Vlog No Copyright Music. Video Link: https://youtu.be/KzQiRABVARk Artista: Support Fredji https://soundcloud.com/fredjimusic https://www.instagram.com/freddeander... https://www.facebook.com/fredjimusic/ Se Gostou de Assistir se Inscreva no Canal para um Novo Video Toda Semana https://www.youtube.com/channel/UCWeBlAcKVQri_t6IQ0zH58w?sub_confirmation=1 Somos Mais de 1.798.072 Obrigado por Assistir Play TOP Os Slimes Mais Satisfatórios do Mundo! #6 - Vídeo Satisfatório ASMR! - 2019	24	Entertainment	PT10M19S	619	2d	hd	false	https://i.ytimg.com/vi/HRzfj_TeI68/maxresdefault.jpg	1	38728	1294	68	0	99
5	UC5vYO2XkWEJ37mYWEly2iEg	Hashtagme# ASMR	1oIqz9hyvOk	2019-07-16T18:26:46.000Z	2019-07-16 18:26:46	IS IT A SQUISHY OR SLIME? (Challenging Slime Point Game)	Check out my slime shop :) https://www.etsy.com/ca/shop/hashtagmeslimes?ref=l2-shopheader-name IF YOU ARE HERE FROM THE GIVEAWAY, THEN SUBSCRIBE AND LIKE AND TURN ON BELL NOTIFICATION AND COMMENT #summer WHEN DONE FOLLOWING THE RULES! THE CREDITS GOES TO: @hashtagsslimes @duckslimey :) aka moi! ;) THANKS A LOT FOR YOUR SUPPORT & I LOVE YOU ALL SO SO MUCH :)	22	People & Blogs	PT3M8S	188	2d	hd	false	https://i.ytimg.com/vi/1oIqz9hyvOk/maxresdefault.jpg	1	53638	2338	77	0	3789
6	UCTM-p_LO8fsbLRMFqitWqBA	Lena Slime	n2Sh4hE8vLs	2019-07-15T14:15:01.000Z	2019-07-15 14:15:01	Strawberry vs Banana - Mixing Makeup Eyeshadow Into Slime Special Series 134 Satisfying Slime Video	Hi! In this makeup destruction video, I'm going to be Mixing Makeup Eyeshadow into Clear Slime with Strawberry vs Banana colored makeup, with special Two Faced strawberry and banana palettes. I'll be mixing and breaking up makeup and eye shadow into clear slimes and separating the colors out to make a beautiful swirl slime at the end! I hope you enjoy this satisfying slime coloring with makeup special series slime video. Thank you for watching. Love you! 💗 Subscribe and Come Watch these! You will like: Pink 💗 vs 💙 Teal - https://youtu.be/qNmBPEaLxME Pink 💗 vs 💚 Mint - https://youtu.be/iigOAbYeQ-g Pink 💗 vs 💙 Blue #2 - https://youtu.be/tw7tdgZ_oAM Pink💗 vs 💜Purple - https://youtu.be/4xAPB9Qrq-U Pink 💗 vs 💙 Blue #1 - https://youtu.be/8OemNihNqCY Pink 💗 vs 💿 Silver - https://youtu.be/0bsXhOcAgo8 Red ❤️ vs 🍫 Chocolate - https://youtu.be/Du0hlaEfRSw Light Blue 💙 vs 💙 Dark Blue - https://youtu.be/_ti6c4BwuRM Rose 🌹 vs 📀Gold - https://youtu.be/GCBOQJXc_FQ Black 🖤 vs 💚Green - https://youtu.be/0FI-YmVCxMY Red ❤️ vs 🧡 Orange - https://youtu.be/GMO9mURA2Ic Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Pink 💗 vs 💗Pink - https://youtu.be/u0ye5d0l1Nc Blue💙 vs 💗Pink - https://youtu.be/mWsJEbxJyf0 Pink 💗 vs 📀 Gold - https://youtu.be/q8N728katcA Pink 💗 vs 🖤 Black- https://youtu.be/13cRrb4j-Mk Pink💗 vs 🐶Brown - https://youtu.be/19pVn8PV5fA Pink 💗 vs 💛 Yellow - https://youtu.be/VzkxjRTtH2o Pink💗 vs 💜Purple - https://youtu.be/5HBaIUe-Sts Pink💗 vs 🧡Orange - https://youtu.be/qxrTYJEReYk Purple💜 vs 💙 Blue - https://youtu.be/PdCcSDfNy4A Silver💿 vs 📀Gold - https://youtu.be/Iun4FldGDFc Black🖤 vs 💮White - https://youtu.be/_NWr3njEhXY Blue 💙 vs 💿 Silver - https://youtu.be/R_Vh_9F7-Ys Burgundy🏮 vs 🐶Beige - https://youtu.be/kQkv5YuJZJI Teal 💎 vs 🐮 Brown https://youtu.be/NGyLXVjGiH4 Red ❤️ vs 💛 Yellow - https://youtu.be/opjPFOMRqaw Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Teal 💎 vs 💜 Purple - https://youtu.be/RRIA8Q1lsqo Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Orange🧡 vs 💛Yellow - https://youtu.be/JAabZQY6xs4 Purple💜 vs 💚Green - https://youtu.be/DiihirxK3Dc Red🌹 vs 💮White - https://youtu.be/vo1akDO6tBA Black🖤 vs 💛Yellow - https://youtu.be/J0-Qm6rEgcQ Pink💗 vs 💚Green - https://youtu.be/J0-Qm6rEgcQ Gold📀 vs 💎Teal - https://youtu.be/kQrveAnazT8 Green💚 vs 🧡Orange - https://youtu.be/ex1XHvB6ZvY Purple💜 vs 💛Yellow - https://youtu.be/8tg7CxMMiW8 Blue💙 vs ❤️Red - https://youtu.be/MaasbzlDyMQ Black🖤 vs 💗Pink - https://youtu.be/pN_EUbiwm6g Orange🧡 vs 💙Blue - https://youtu.be/Q0J-EXGju94 Red❤️ vs 💚Green - https://youtu.be/LSlUsJtN-Gw Purple💜 vs 🧡Orange -https://youtu.be/R4gkWB6szfY Blue💙 vs 💛Yellow - https://youtu.be/QPMXTaW4hCc Blue💙 vs ❤️Red❤️ vs 💛Yellow - https://youtu.be/YNU_IH3G7YE #lenaslime #makeupslime #eyeshadowslime #makeupasmr #makeupdestruction ---------------------------------------------------------------------------------------------------------- LOOKING FOR MORE SLIME? CHECK OUT THESE GREAT CHANNELS ---------------------------------------------------------------------------------------------------------- #tanyast #izabelastress #tomslime #satisfychannel #tepslime #makeupbreakup #boomslime #jennyslime #ryoslime #satisfyingslimevideos #jerryslime Slime Special Series Mixing Red vs Yellow Mekeup with Parts, glitter... Into Slime.	22	People & Blogs	PT9M1S	541	2d	hd	false	https://i.ytimg.com/vi/n2Sh4hE8vLs/maxresdefault.jpg	1	402098	6219	616	0	580
7	UC0zUezMTgb3yqxwFz2djmYw	DinsiemE	ZHaq8PQlzOg	2019-07-17T10:29:47.000Z	2019-07-17 10:29:47	TROVA GLI INGREDIENTI DELLO SLIME NASCOSTI DA GRANNY NELLA VITA REALE!	Giochiamo a Granny nella vita reale ma stavolta la nonnina cattiva ha nascosto gli ingredienti per fare lo slime.. riuscirò a trovarli? Granny nella vita reale (in real life) si unisce alle slime challenge! CANALE DEL DOTTOR GINIU: https://www.youtube.com/channel/UC8Jc3tB39zIKQRel94TI3dQ? ISCRIVITI AL SECONDO CANALE: https://www.youtube.com/channel/UC-mAGpzqju_M1HrHSx8laqg 🎵 Ascolta la nostra canzone: https://youtu.be/WKCKR6JdaK4 Se volete prendere le nostre maglie le trovate su: http://dinsieme.it Seguici anche sui social: Iscriviti al Canale: http://bit.ly/DINSIEME 📸 Seguici su Instagram: @dinsieme.official http://bit.ly/INSTDinsieme 🎼 Seguici su Tik Tok: @dinsieme.official http://bit.ly/MUSDinsieme Ciao da Erick e Dominick, i DinsiemE! Nel nostro canale trovi il nuovo video cioè il video di oggi #DinsiemE #Dinsiemini #ErickeDominick	24	Entertainment	PT18M30S	1110	2d	hd	false	https://i.ytimg.com/vi/ZHaq8PQlzOg/maxresdefault.jpg	1	234485	16627	474	0	1242
8	UCWeBlAcKVQri_t6IQ0zH58w	Play TOP	TnDj0U3UhIs	2019-07-15T13:00:06.000Z	2019-07-15 13:00:06	Os Slimes Mais Satisfatórios do Mundo! #4 - Vídeo Satisfatório ASMR! - 2019	Os Slimes Mais Satisfatórios do Mundo! #4 - Vídeo Satisfatório ASMR! - 2019 *** Todos os Créditos no Vídeo *** Instagram : mintyslimey aeslimeic asmr_soap_granny asmr_soap_princess asmr_vid___ helen.asm is laurensoaps paragon.slimes qweenysli to sicksliems slimeaxis the slimebyi slimedivine to the slimeyglut soap.asmr.ns soap.asmr.u to sprousesslimes Kwai: cmt290010 daya0525 dx686886 ws000000 Yanxizaoan666 Clique aqui para se Inscrever https://www.youtube.com/channel/UCWeBlAcKVQri_t6IQ0zH58w?sub_confirmation=1 Musica: Song: Fredji - Happy Life (Vlog No Copyright Music) Music provided by Vlog No Copyright Music. Video Link: https://youtu.be/KzQiRABVARk Artista: Support Fredji https://soundcloud.com/fredjimusic https://www.instagram.com/freddeander... https://www.facebook.com/fredjimusic/ Se Gostou de Assistir se Inscreva no Canal para um Novo Video Toda Semana https://www.youtube.com/channel/UCWeBlAcKVQri_t6IQ0zH58w?sub_confirmation=1 Somos Mais de 1.798.354 Obrigado por Assistir Play TOP Os Slimes Mais Satisfatórios do Mundo! #4 - Vídeo Satisfatório ASMR! - 2019	24	Entertainment	PT10M40S	640	2d	hd	false	https://i.ytimg.com/vi/TnDj0U3UhIs/maxresdefault.jpg	1	114358	2388	127	0	156
9	UCVb3Kouf3YKbazTzUOlD3Ag	The Best Satisfying	blwq5F1hbtk	2019-07-16T13:45:00.000Z	2019-07-16 13:45:00	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 304	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 304 👇👇👇👇👇👇👇👇👇👇👇 Subscribe: https://bit.ly/2UOLGfo Don't forget to like the video! =) #satisfying #slime #asmr Follow us! Snapchat: TBestSatisfying Instagram: @tbestsatisfying Spotify: TBestSatisfying TikTok: TBestSatisfying Instagram Credits: mintyslimey aeslimeic asmr_soap_granny asmr_soap_princess asmr_vid___ helen.asmr laurensoaps paragon.slimes qweenyslime sicksliems slimeaxis slimebyian slimedivinee slimeygluten soap.asmr.ns soap.asmr.ua sprousesslimes Kwai credits: cmt290010 daya0525 dx686886 ws000000 Yanxizaoan666 What does ASMR mean? Autonomous sensory meridian response (ASMR) is an experience characterized by a static-like or tingling sensation on the skin that typically begins on the scalp and moves down the back of the neck and upper spine. Email us for business: business@pusic.yt Our site: www.pusicentertainment.com	24	Entertainment	PT13M18S	798	2d	hd	false	https://i.ytimg.com/vi/blwq5F1hbtk/maxresdefault.jpg	1	81071	1855	92	0	365
10	UCDMpQ5ZK_WtSd7_Sor3xtkg	SofiaS Furlani	ERbNTM4G8ro	2019-07-16T20:34:53.000Z	2019-07-16 20:34:53	MELHORES PUTTYS SLIMES QUE JÁ TOQUEI NA VIDA ! COMPREI TUDO POR 5 DÓLARES !THE BEST SLIME PUTTY EVER	MELHORES PUTTYS SLIMES QUE JÁ TOQUEI ! DEIXEM LIKE :))) INSTAGRAM @sofiasfurlanioficial INSTAGRAM DE SLIMES @newchicslimefactory TIKTOK sofiasfurlani	22	People & Blogs	PT22M55S	1375	2d	hd	false		1	339161	24228	924	0	
